PC1,Converted
43548.327167473384,0
43539.6481927454,0
43539.056769045885,1
43530.47242602415,0
43493.00724906509,1
43491.32717063825,0
43485.10820963967,1
43475.32717575482,0
43435.3610201868,0
43427.35483964847,0
43419.97067181964,1
43381.966823192546,1
43374.05975093506,1
43369.40818807075,0
43364.55625903676,0
43358.809208467836,1
43351.32718652056,0
43345.7906492044,0
43334.13111887942,1
43320.37389589462,0
43290.43816360575,0
43289.50676021702,0
43282.80961561494,1
43272.694407149684,0
43269.86870891112,1
43258.835855063866,1
43243.80346505367,1
43235.95350068982,1
43234.41391439282,0
43221.36436216941,1
43213.88634954009,1
43185.36914256506,0
43172.433452006546,0
43150.36248075543,0
43144.334850115,1
43132.37391722237,1
43124.099711911054,0
43078.59537029383,1
43066.47487903584,0
43047.33914826624,1
43046.49013077619,0
43033.34537716361,0
43026.42204925837,0
43014.43298915366,0
43005.45823005552,0
42991.463927603676,0
42985.58772873378,0
42964.327230423805,0
42960.910697120824,0
42939.327233259915,0
42898.327235628036,1
42881.40347044449,0
42880.514923971496,0
42861.46348409203,0
42859.373011447606,0
42841.33298187854,0
42809.535030510975,1
42774.75737996411,1
42753.522146039526,0
42748.65358103474,0
42742.42873534467,0
42736.3272612415,0
42730.02642049873,1
42707.32726288063,0
42701.010702069616,1
42686.40205095301,1
42664.74874893774,1
42660.32726262801,1
42644.327280564234,0
42641.327270368,0
42631.141636330285,0
42631.43159423862,0
42617.38016848301,0
42595.43401390931,0
42593.43397757341,0
42590.83734766801,1
42538.61066368583,1
42533.84927252843,1
42531.57497705531,0
42521.66305648186,1
42519.51447501569,0
42516.4920906527,1
42515.32727907749,1
42511.32728181442,0
42507.86832720926,1
42496.486870624474,0
42487.36305755598,0
42455.37351257389,0
42442.80686911801,1
42441.84404710517,0
42425.429240205674,0
42418.87882728642,1
42411.375418976415,0
42393.72645830433,0
42378.58258960163,0
42373.40399806888,0
42366.57069196028,0
42356.32730269979,0
42334.85597813735,1
42319.07169828296,1
42304.105078836554,0
42291.32731007377,1
42285.712653279654,0
42280.63117658731,0
42274.89694925549,1
42259.03459159215,0
42249.38690240856,0
42248.4059242768,1
42222.51690552686,0
42218.59881023585,0
42206.75360172964,1
42182.89407914062,1
42180.32730197883,1
42178.07317753928,0
42175.673603198375,1
42168.6378952316,0
42156.9217070943,0
42145.692631450365,0
42104.45837126253,0
42098.45737741212,0
42094.85644925339,1
42092.4592935472,0
42074.90218188637,1
42059.345922329,0
42056.10745299142,0
42052.352743414,0
42049.38781187683,0
42032.37499535631,0
42028.48119213339,0
42014.40355308785,1
42002.32732052135,1
41993.4526131989,0
41981.907437601476,0
41969.79692721553,1
41964.750754348584,1
41957.846954863984,1
41953.4659703176,0
41952.327342947014,1
41950.16507193295,0
41943.3469319368,0
41934.51121979987,0
41928.4302698666,0
41918.09079522814,1
41905.377897761995,0
41890.36214566638,0
41887.36404933629,0
41885.669337868225,0
41880.53311019961,0
41868.43787970685,0
41861.661714974325,0
41849.61980049941,1
41848.188428398804,1
41827.43880133459,0
41824.44406411564,0
41794.93128291925,1
41787.35406118492,0
41743.4102814123,0
41728.874592486536,0
41699.48599892075,0
41667.551736925496,0
41663.80841214373,1
41643.19181874767,1
41639.34978288319,0
41638.05510384694,1
41604.765088736196,1
41590.419854588574,0
41584.88603702944,0
41577.49457565404,0
41567.56228934531,0
41555.50885611761,0
41526.25324947189,0
41500.35839601734,0
41497.962774547166,0
41488.62036259624,0
41486.32737512526,1
41467.44647775113,0
41463.50982119376,0
41459.91795690532,1
41445.32738536096,1
41438.54555239447,1
41434.832252381835,1
41431.327409287216,0
41429.75797979371,0
41423.40552401601,0
41418.18134250108,0
41409.204225570546,0
41382.745125349844,1
41372.32738805795,1
41357.99947476655,1
41342.51082427718,1
41338.327414885396,0
41292.35986815696,0
41281.3274213518,0
41269.41888443811,0
41259.47461826948,0
41243.70129383518,1
41241.49034517375,0
41232.36459135648,0
41218.32742849877,0
41216.327428725665,0
41209.915137152304,1
41164.33418239176,0
41134.3274413296,0
41133.36416695209,0
41132.94612231187,1
41120.32742223062,1
41110.54512177943,0
41099.49798918271,0
41092.556546579,0
41089.425102535984,0
41088.85417764285,1
41076.25759248983,1
41069.837039486505,1
41054.32744088699,1
41045.42605742719,0
41043.08328477491,1
41034.04611736059,1
41031.485133602866,0
41017.416537496494,0
41014.99755280325,1
41004.327439324,1
40999.38605723763,0
40989.37509356637,0
40953.8818726067,1
40918.32746583375,0
40900.97613052884,1
40892.828053106205,0
40883.192340709735,0
40881.36274169688,0
40874.35327924683,0
40859.890891468036,1
40840.358942980296,0
40834.8618433777,0
40828.3918118017,0
40822.47371786856,0
40806.340893641,0
40801.32748075749,0
40782.47327322082,0
40779.38277668285,1
40762.82944999344,0
40752.42038134264,1
40731.327483746456,0
40716.67611951241,1
40713.86568341951,0
40710.610462143784,0
40698.85950468399,0
40693.496229744866,0
40690.4308690693,0
40639.32749748486,0
40635.202385804034,1
40632.47132440191,0
40614.342781185755,0
40588.91137984046,0
40565.39611581992,0
40552.62803037348,1
40542.751830139896,1
40528.32751007727,0
40514.4394597963,0
40508.54327557492,0
40502.3561215942,0
40497.327513594064,1
40487.37330068683,0
40471.32751819433,1
40466.327517110854,0
40455.72052316461,1
40454.32751517079,0
40431.33236564323,0
40423.13905784581,1
40420.87712592061,1
40401.928548737196,1
40397.32750425127,1
40383.37709810084,1
40321.4852028687,0
40313.46759054356,0
40311.4918890422,0
40291.40947697777,0
40288.43613901059,1
40281.33997420117,0
40263.32754014013,0
40247.535239445395,0
40237.80765185377,0
40234.361447120784,0
40232.34808247618,0
40201.46758829022,0
40200.05526390008,0
40197.3275476275,0
40196.327549391775,0
40192.429010844324,0
40190.34231981926,1
40167.51284420432,0
40138.32755101938,0
40129.37378963106,0
40127.420055540395,0
40124.57806497323,1
40122.33290267992,0
40113.46903866646,0
40106.410449658986,0
40078.333310651826,0
40072.44854479027,1
40058.70998557622,1
40037.32756247732,0
40036.61095905851,1
40035.446683075745,0
40031.893911019666,0
39997.362386004184,0
39994.561409603804,0
39985.937681564596,1
39959.383324188995,1
39954.038641583524,0
39950.452844770625,1
39949.42620924383,0
39934.35950764723,0
39928.740061283344,0
39912.52717096859,0
39903.41719386366,0
39888.50000760914,0
39884.42237794399,0
39856.59244148177,1
39850.05914933502,1
